Name,Country,Sector,Industry
CGBD,Carlyle Secured Lending Inc. Common Stock,United States,Finance,Finance: Consumer Services
CGBDL,Carlyle Secured Lending Inc. 8.20% Notes due 2028,United States,,
CGBS,Crown LNG Holdings Limited Ordinary Shares,Jersey,,
CGBSW,Crown LNG Holdings Limited Warrants,Jersey,,
CGC,Canopy Growth Corporation Common Shares,Canada,Health Care, Medicinal Chemicals and Botanical Products 
CGEM,Cullinan Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CGEN,Compugen Ltd. Ordinary Shares,Israel,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CGNT,Cognyte Software Ltd. Ordinary Shares,Israel,Technology,Computer Software: Prepackaged Software
CGNX,Cognex Corporation Common Stock,United States,Industrials,Industrial Machinery/Components
CGO,Calamos Global Total Return Fund Common Stock,United States,Finance,Investment Managers
CGON,CG Oncology Inc. Common stock,United States,,
CGTX,Cognition Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CHCI,Comstock Holding Companies Inc. Class A Common Stock,United States,Finance,Real Estate
CHCO,City Holding Company Common Stock,United States,Finance,Major Banks
CHDN,Churchill Downs Incorporated Common Stock,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
CHEF,The Chefs' Warehouse Inc. Common Stock,United States,Consumer Discretionary,Food Distributors
CHEK,Check-Cap Ltd. Ordinary Share,Israel,Health Care,Medical Electronics
CHI,Calamos Convertible Opportunities and Income Fund Common Stock,United States,Finance,Investment Managers
CHK,Chesapeake Energy Corporation Common Stock,United States,Energy,Oil & Gas Production
CHKEL,Chesapeake Energy Corporation Class C Warrants,United States,Energy,Oil & Gas Production
CHKEW,Chesapeake Energy Corporation Class A Warrants,United States,Energy,Oil & Gas Production
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,Israel,Technology,Computer Software: Prepackaged Software
CHMG,Chemung Financial Corp Common Stock,United States,Finance,Major Banks
CHNR,China Natural Resources Inc. Common Stock,Hong Kong,Basic Materials,Precious Metals
CHR,Cheer Holding Inc. Ordinary Share,China,Technology,EDP Services
CHRD,Chord Energy Corporation Common Stock,United States,Energy,Oil & Gas Production
CHRS,Coherus BioSciences Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CHRW,C.H. Robinson Worldwide Inc. Common Stock,United States,Consumer Discretionary,Oil Refining/Marketing
CHSCL,CHS Inc Class B Cumulative Redeemable Preferred Stock Series 4,United States,Industrials,Farming/Seeds/Milling
CHSCM,CHS Inc Class B Reset Rate Cumulative Redeemable Preferred Stock Series 3,United States,Industrials,Farming/Seeds/Milling
CHSCN,CHS Inc Preferred Class B Series 2 Reset Rate,United States,Industrials,Farming/Seeds/Milling
CHSCO,CHS Inc. Class B Cumulative Redeemable Preferred Stock,United States,Industrials,Farming/Seeds/Milling
CHSCP,CHS Inc. 8%  Cumulative Redeemable Preferred Stock,United States,Industrials,Farming/Seeds/Milling
CHSN,Chanson International Holding Class A Ordinary Shares,China,Consumer Staples,Packaged Foods
CHTR,Charter Communications Inc. Class A Common Stock New,United States,Telecommunications,Cable & Other Pay Television Services
CHUY,Chuy's Holdings Inc. Common Stock,United States,Consumer Discretionary,Restaurants
CHW,Calamos Global Dynamic Income Fund Common Stock,United States,Finance,Investment Managers
CHX,ChampionX Corporation Common Stock ,United States,Industrials,Industrial Machinery/Components
CHY,Calamos Convertible and High Income Fund Common Stock,United States,Finance,Investment Managers
CIFR,Cipher Mining Inc. Common Stock,United States,Finance,Finance: Consumer Services
CIFRW,Cipher Mining Inc. Warrant,United States,Finance,Finance: Consumer Services
CIGI,Colliers International Group Inc. Subordinate Voting Shares,Canada,Finance,Real Estate
CINF,Cincinnati Financial Corporation Common Stock,United States,Finance,Property-Casualty Insurers
CING,Cingulate Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CINGW,Cingulate Inc. Warrants,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CISO,CISO Global Inc. Common Stock,United States,Consumer Discretionary,Professional Services
CISS,C3is Inc. Common Stock,Greece,Consumer Discretionary,Marine Transportation
CITE,Cartica Acquisition Corp Class A Ordinary Shares,United States,Finance,Blank Checks
CITEW,Cartica Acquisition Corp Warrant,United States,Finance,Blank Checks
CIVB,Civista Bancshares Inc. Common Stock,United States,Finance,Major Banks
CJET,Chijet Motor Company Inc. Ordinary Shares,Cayman Islands,Consumer Discretionary,Auto Manufacturing
CJJD,China Jo-Jo Drugstores Inc. (Cayman Islands) Ordinary Shares,China,Consumer Staples,Retail-Drug Stores and Proprietary Stores
CKPT,Checkpoint Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CLAR,Clarus Corporation Common Stock,United States,Consumer Discretionary,Recreational Games/Products/Toys
CLBK,Columbia Financial Inc. Common Stock,United States,Finance,Savings Institutions
CLBT,Cellebrite DI Ltd. Ordinary Shares,Israel,Technology,Computer Software: Prepackaged Software
CLBTW,Cellebrite DI Ltd. Warrants,Israel,Technology,Computer Software: Prepackaged Software
CLDX,Celldex Therapeutics Inc.,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
CLEU,China Liberal Education Holdings Limited Ordinary Shares,China,Real Estate,Other Consumer Services
CLFD,Clearfield Inc. Common Stock,United States,Utilities,Telecommunications Equipment
CLGN,CollPlant Biotechnologies Ltd Ordinary Shares,Israel,Health Care,Industrial Specialties
CLIR,ClearSign Technologies Corporation Common Stock (DE),United States,Industrials,Industrial Machinery/Components
CLLS,Cellectis S.A. American Depositary Shares,France,Health Care,Biotechnology: Pharmaceutical Preparations
CLMB,Climb Global Solutions Inc. Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment
CLMT,Calumet Inc. Common Stock,United States,Energy,Integrated oil Companies
CLNE,Clean Energy Fuels Corp. Common Stock,United States,Utilities,Natural Gas Distribution
CLNN,Clene Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CLNNW,Clene Inc. Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CLOE,Clover Leaf Capital Corp. Class A Common Stock,United States,Finance,Blank Checks
CLOER,Clover Leaf Capital Corp. Rights,United States,Finance,Blank Checks
CLOEU,Clover Leaf Capital Corp. Unit,United States,Finance,Blank Checks
CLOV,Clover Health Investments Corp. Class A Common Stock,United States,Health Care,Medical Specialities
CLPS,CLPS Incorporation Common Stock,China,Technology,Computer Software: Prepackaged Software
CLPT,ClearPoint Neuro Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
CLRB,Cellectar Biosciences Inc.  Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CLRC,ClimateRock Class A Ordinary Shares,United Kingdom,Finance,Blank Checks
CLRCR,ClimateRock Right,United Kingdom,Finance,Blank Checks
CLRCU,ClimateRock Unit,United Kingdom,Finance,Blank Checks
CLRO,ClearOne Inc. (DE) Common Stock,United States,Utilities,Telecommunications Equipment
CLSD,Clearside Biomedical Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CLSK,CleanSpark Inc. Common Stock,United States,Finance,Finance: Consumer Services
CLST,Catalyst Bancorp Inc. Common Stock,United States,Finance,Savings Institutions
CLWT,Euro Tech Holdings Company Limited Common Stock,Hong Kong,Consumer Discretionary,Professional and commerical equipment
CMAX,CareMax Inc. Class A Common Stock,United States,Health Care,Hospital/Nursing Management
CMAXW,CareMax Inc. Warrant,United States,Health Care,Hospital/Nursing Management
CMBM,Cambium Networks Corporation Ordinary Shares,Cayman Islands,Technology,Radio And Television Broadcasting And Communications Equipment
CMCO,Columbus McKinnon Corporation Common Stock,United States,Industrials,Construction/Ag Equipment/Trucks
CMCSA,Comcast Corporation Class A Common Stock,United States,Telecommunications,Cable & Other Pay Television Services
CMCT,Creative Media & Community Trust Corporation Common stock,United States,Real Estate,Real Estate Investment Trusts
CME,CME Group Inc. Class A Common Stock,United States,Finance,Investment Bankers/Brokers/Service
CMLS,Cumulus Media Inc. Class A Common Stock,United States,Consumer Discretionary,Broadcasting
CMMB,Chemomab Therapeutics Ltd. American Depositary Share,Israel,Health Care,Biotechnology: Pharmaceutical Preparations
CMND,Clearmind Medicine Inc. Common Shares,Canada,Health Care,Biotechnology: Pharmaceutical Preparations
CMPO,CompoSecure Inc. Class A Common Stock,United States,Finance,Finance: Consumer Services
CMPOW,CompoSecure Inc. Warrant,United States,Finance,Finance: Consumer Services
CMPR,Cimpress plc Ordinary Shares (Ireland),Netherlands,Consumer Discretionary,Publishing
CMPS,COMPASS Pathways Plc American Depository Shares,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
CMPX,Compass Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CMRX,Chimerix Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CMTL,Comtech Telecommunications Corp. Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment
CNDT,Conduent Incorporated Common Stock ,United States,Consumer Discretionary,Business Services
CNET,ZW Data Action Technologies Inc. Common Stock,China,Technology,Computer Software: Programming Data Processing
CNEY,CN Energy Group Inc. Class A Ordinary Shares,China,Industrials,Major Chemicals
CNFR,Conifer Holdings Inc. Common Stock,United States,Finance,Property-Casualty Insurers
CNOB,ConnectOne Bancorp Inc. Common Stock,United States,Finance,Major Banks
CNOBP,ConnectOne Bancorp Inc. Depositary Shares each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series A,United States,Finance,Major Banks
CNSL,Consolidated Communications Holdings Inc. Common Stock,United States,Telecommunications,Telecommunications Equipment
CNSP,CNS Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CNTA,Centessa Pharmaceuticals plc American Depositary Shares,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
CNTB,Connect Biopharma Holdings Limited American Depositary Shares,China,Health Care,Biotechnology: Pharmaceutical Preparations
CNTM,ConnectM Technology Solutions Inc. Common Stock,United States,Consumer Discretionary,Engineering & Construction
CNTX,Context Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CNTY,Century Casinos Inc. Common Stock,United States,Consumer Discretionary,Hotels/Resorts
CNVS,Cineverse Corp. Class A Common Stock,United States,Consumer Discretionary,Consumer Electronics/Video Chains
CNXC,Concentrix Corporation Common Stock,United States,Technology,Computer Software: Prepackaged Software
CNXN,PC Connection Inc. Common Stock,United States,Consumer Discretionary,Catalog/Specialty Distribution
COCH,Envoy Medical Inc. Class A Common Stock,United States,Health Care,Industrial Specialties
COCHW,Envoy Medical Inc Warrant,United States,Health Care,Industrial Specialties
COCO,The Vita Coco Company Inc. Common Stock,United States,Consumer Staples,Beverages (Production/Distribution)
COCP,Cocrystal Pharma Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CODA,Coda Octopus Group Inc. Common stock,United States,Industrials,Industrial Machinery/Components
CODX,Co-Diagnostics Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
COEP,Coeptis Therapeutics Holdings Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
COEPW,Coeptis Therapeutics Holdings Inc. Warrants,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
COFS,ChoiceOne Financial Services Inc. Common Stock,United States,Finance,Major Banks
COGT,Cogent Biosciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
COHU,Cohu Inc. Common Stock,United States,Industrials,Electrical Products
COIN,Coinbase Global Inc. Class A Common Stock,United States,Finance,Finance: Consumer Services
COKE,Coca-Cola Consolidated Inc. Common Stock,United States,Consumer Staples,Beverages (Production/Distribution)
COLB,Columbia Banking System Inc. Common Stock,United States,Finance,Savings Institutions
COLL,Collegium Pharmaceutical Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
COLM,Columbia Sportswear Company Common Stock,United States,Consumer Discretionary,Apparel
COMM,CommScope Holding Company Inc. Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment
COO,The Cooper Companies Inc. Common Stock,United States,Health Care,Ophthalmic Goods
COOP,Mr. Cooper Group Inc. Common Stock,United States,Finance,Finance: Consumer Services
COOT,Australian Oilseeds Holdings Limited Ordinary Shares,Australia,Consumer Staples,Packaged Foods
CORT,Corcept Therapeutics Incorporated Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CORZ,Core Scientific Inc. Common Stock,United States,Finance,Finance: Consumer Services
CORZW,Core Scientific Inc. Tranche 1 Warrants,United States,Finance,Finance: Consumer Services
CORZZ,Core Scientific Inc. Tranche 2 Warrants,United States,Finance,Finance: Consumer Services
COSM,Cosmos Health Inc. Common Stock,United States,Health Care,Other Pharmaceuticals
COST,Costco Wholesale Corporation Common Stock,United States,Consumer Discretionary,Department/Specialty Retail Stores
COYA,Coya Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CPBI,Central Plains Bancshares Inc. Common Stock,United States,Finance,Savings Institutions
CPHC,Canterbury Park Holding Corporation 'New' Common Stock,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
CPIX,Cumberland Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CPLP,Capital Product Partners L.P. Common Units,Greece,Consumer Discretionary,Marine Transportation
CPOP,Pop Culture Group Co. Ltd Class A Ordinary Shares,China,Consumer Discretionary,Services-Misc. Amusement & Recreation
CPRT,Copart Inc. (DE) Common Stock,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CPRX,Catalyst Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CPSH,CPS Technologies Corp. Common Stock,United States,Consumer Discretionary,Building Materials
CPSS,Consumer Portfolio Services Inc. Common Stock,United States,Finance,Finance: Consumer Services
CPTN,Cepton Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
CPTNW,Cepton Inc. Warrant,United States,Consumer Discretionary,Auto Parts:O.E.M.
CPZ,Calamos Long/Short Equity & Dynamic Income Trust Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
CRAI,CRA International Inc. Common Stock,United States,Consumer Discretionary,Other Consumer Services
CRBP,Corbus Pharmaceuticals Holdings Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CRBU,Caribou Biosciences Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRCT,Cricut Inc. Class A Common Stock,United States,Technology,Industrial Machinery/Components
CRDF,Cardiff Oncology Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRDL,Cardiol Therapeutics Inc. Class A Common Shares,Canada,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,United States,Technology,Semiconductors
CREG,Smart Powerr Corp. Common Stock,China,Consumer Discretionary,Business Services
CRESW,Cresud S.A.C.I.F. y A. Warrant,Argentina,Finance,Real Estate
CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares,Argentina,Finance,Real Estate
CREV,Carbon Revolution Public Limited Ordinary Shares,Ireland,Consumer Discretionary,Auto Parts:O.E.M.
CREVW,Carbon Revolution Public Limited Company Warrant,Ireland,Consumer Discretionary,Auto Parts:O.E.M.
CREX,Creative Realities Inc. Common Stock,United States,Technology,EDP Services
CRGO,Freightos Limited Ordinary shares,Israel,Consumer Discretionary,Oil Refining/Marketing
CRGOW,Freightos Limited Warrants,Israel,Consumer Discretionary,Oil Refining/Marketing
CRGX,CARGO Therapeutics Inc. Common Stock,United States,,
CRIS,Curis Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRKN,Crown Electrokinetics Corp. Common Stock,United States,Technology,Industrial Machinery/Components
CRMD,CorMedix Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CRML,Critical Metals Corp. Ordinary Shares,British Virgin Islands,Basic Materials,Metal Mining
CRMLW,Critical Metals Corp. Warrants,British Virgin Islands,Basic Materials,Metal Mining
CRMT,America's Car-Mart Inc Common Stock,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CRNC,Cerence Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
CRNT,Ceragon Networks Ltd. Ordinary Shares,Israel,Technology,Radio And Television Broadcasting And Communications Equipment
CRNX,Crinetics Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CRON,Cronos Group Inc. Common Share,Canada,Health Care, Medicinal Chemicals and Botanical Products 
CROX,Crocs Inc. Common Stock,United States,Consumer Discretionary,Shoe Manufacturing
CRSP,CRISPR Therapeutics AG Common Shares,Switzerland,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRSR,Corsair Gaming Inc. Common Stock,United States,Technology,Computer peripheral equipment
CRTO,Criteo S.A. American Depositary Shares,France,Consumer Discretionary,Advertising
CRUS,Cirrus Logic Inc. Common Stock,United States,Technology,Semiconductors
CRVL,CorVel Corp. Common Stock,United States,Finance,Specialty Insurers
CRVO,CervoMed Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CRVS,Corvus Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
CRWS,Crown Crafts Inc Common Stock,United States,Consumer Discretionary,Textiles
CSBR,Champions Oncology Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CSCI,COSCIENS Biopharma Inc. Common Stock,Canada,,
CSCO,Cisco Systems Inc. Common Stock (DE),United States,Telecommunications,Computer Communications Equipment
CSGP,CoStar Group Inc. Common Stock,United States,Consumer Discretionary,Business Services
CSGS,CSG Systems International Inc. Common Stock,United States,Technology,EDP Services
CSIQ,Canadian Solar Inc. Common Shares (ON),Canada,Technology,Semiconductors
CSLM,CSLM Acquisition Corp. Class A Ordinary Share,United States,Finance,Blank Checks
CSLR,Complete Solaria Inc. Common Stock,United States,Technology,Semiconductors
CSLRW,Complete Solaria Inc. Warrants,United States,Technology,Semiconductors
CSPI,CSP Inc. Common Stock,United States,Technology,EDP Services
CSQ,Calamos Strategic Total Return Common Stock,United States,Finance,Finance Companies
CSTE,Caesarstone Ltd. Ordinary Shares,Israel,Industrials,Building Materials
CSTL,Castle Biosciences Inc. Common Stock,United States,Health Care,Medical Specialities
CSWC,Capital Southwest Corporation Common Stock,United States,Consumer Discretionary,Textiles
CSWCZ,Capital Southwest Corporation 7.75% Notes due 2028,United States,Finance,Finance Companies
CSWI,CSW Industrials Inc. Common Stock,United States,Industrials,Home Furnishings
CSX,CSX Corporation Common Stock,United States,Industrials,Railroads
CTAS,Cintas Corporation Common Stock,United States,Consumer Discretionary,Apparel
CTBI,Community Trust Bancorp Inc. Common Stock,United States,Finance,Major Banks
CTCX,Carmell Corporation Common Stock,United States,Health Care,Medical/Dental Instruments
CTHR,Charles & Colvard Ltd Common Stock,United States,Consumer Discretionary,Consumer Specialties
CTKB,Cytek Biosciences Inc. Common Stock,United States,Industrials,Biotechnology: Laboratory Analytical Instruments
CTLP,Cantaloupe Inc. Common Stock,United States,Miscellaneous,Office Equipment/Supplies/Services
CTMX,CytomX Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CTNM,Contineum Therapeutics Inc. Class A Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CTNT,Cheetah Net Supply Chain Service Inc. Class A Common Stock,United States,Consumer Discretionary,Motor Vehicles
CTRM,Castor Maritime Inc. Common Shares,Cyprus,Consumer Discretionary,Marine Transportation
CTRN,Citi Trends Inc. Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,United States,Technology,EDP Services
CTSO,Cytosorbents Corporation Common Stock,United States,Health Care,Medical/Dental Instruments
CTXR,Citius Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CUB,Lionheart Holdings Class A Ordinary Shares,United States,Industrials,Industrial Machinery/Components
CUBA,Herzfeld Caribbean Basin Fund Inc. (The) Common Stock,United States,Finance,Investment Managers
CUBWU,Lionheart Holdings Unit,United States,Finance,Blank Checks
CUBWW,Lionheart Holdings Warrant,United States,,
CUE,Cue Biopharma Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CURI,CuriosityStream Inc. Class A Common Stock,United States,Consumer Discretionary,Movies/Entertainment
CURIW,CuriosityStream Inc. Warrant,United States,Consumer Discretionary,Movies/Entertainment
CUTR,Cutera Inc. Common Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CVAC,CureVac N.V. Ordinary Shares,Germany,Health Care,Biotechnology: Pharmaceutical Preparations
CVBF,CVB Financial Corporation Common Stock,United States,Finance,Major Banks
CVCO,Cavco Industries Inc. Common Stock When Issued,United States,Consumer Discretionary,Homebuilding
CVGI,Commercial Vehicle Group Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
CVGW,Calavo Growers Inc. Common Stock,United States,Consumer Discretionary,Specialty Foods
CVII,Churchill Capital Corp VII Class A Common Stock,United States,Finance,Blank Checks
CVIIU,Churchill Capital Corp VII Units,United States,Finance,Blank Checks
CVIIW,Churchill Capital Corp VII Warrants,United States,Finance,Blank Checks
CVKD,Cadrenal Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CVLT,Commvault Systems Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
CVRX,CVRx Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
CVV,CVD Equipment Corporation Common Stock,United States,Technology,Industrial Machinery/Components
CWBC,Community West Bancshares Common Stock,United States,Finance,Major Banks
CWCO,Consolidated Water Co. Ltd. Ordinary Shares,Cayman Islands,Utilities,Water Supply
CWD,CaliberCos Inc. Class A Common Stock,United States,Finance,Real Estate
CWST,Casella Waste Systems Inc. Class A Common Stock,United States,Utilities,Environmental Services
CXAI,CXApp Inc. Class A Common Stock,United States,Technology,EDP Services
CXAIW,CXApp Inc. Warrant,United States,Technology,EDP Services
CXDO,Crexendo Inc. Common Stock,United States,Telecommunications,Telecommunications Equipment
CYBR,CyberArk Software Ltd. Ordinary Shares,Israel,Technology,Computer Software: Prepackaged Software
CYCC,Cyclacel Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CYCN,Cyclerion Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CYN,Cyngn Inc. Common Stock,United States,Technology,EDP Services
CYRX,CryoPort Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CYTH,Cyclo Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CYTK,Cytokinetics Incorporated Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
CYTO,Altamira Therapeutics Ltd. Common Shares,Bermuda,Health Care,Biotechnology: Pharmaceutical Preparations
CZFS,Citizens Financial Services Inc. Common Stock,United States,Finance,Major Banks
CZNC,Citizens & Northern Corp Common Stock,United States,Finance,Major Banks
CZR,Caesars Entertainment Inc. Common Stock,United States,Consumer Discretionary,Hotels/Resorts
CZWI,Citizens Community Bancorp Inc. Common Stock,United States,Finance,Savings Institutions
DADA,Dada Nexus Limited American Depositary Shares,China,Technology,Computer Software: Programming Data Processing
DAIO,Data I/O Corporation Common Stock,United States,Industrials,Electrical Products
DAKT,Daktronics Inc. Common Stock,United States,Consumer Discretionary,Miscellaneous manufacturing industries
DALN,DallasNews Corporation Series A Common Stock,United States,Consumer Discretionary,Newspapers/Magazines
DARE,Dare Bioscience Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
DASH,DoorDash Inc. Class A Common Stock,United States,Consumer Discretionary,Business Services
DATS,DatChat Inc. Common Stock,United States,Telecommunications,Telecommunications Equipment
DATSW,DatChat Inc. Series A Warrant,United States,Telecommunications,Telecommunications Equipment
DAVE,Dave Inc. Class A Common Stock,United States,Finance,Finance: Consumer Services
DAVEW,Dave Inc. Warrants,United States,Finance,Finance: Consumer Services
DAWN,Day One Biopharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
DBGI,Digital Brands Group Inc. Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DBGIW,Digital Brands Group Inc. Warrant,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DBVT,DBV Technologies S.A. American Depositary Shares,France,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DBX,Dropbox Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
DCBO,Docebo Inc. Common Shares,Canada,Technology,Computer Software: Prepackaged Software
DCGO,DocGo Inc. Common Stock,United States,Health Care,Medical/Nursing Services
DCOM,Dime Community Bancshares Inc. Common Stock,United States,Finance,Major Banks
DCOMG,Dime Community Bancshares Inc. 9.000% Fixed-to-Floating Rate Subordinated Notes due 2034,United States,Finance,Major Banks
DCOMP,Dime Community Bancshares Inc. Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series A,United States,Finance,Major Banks
DCTH,Delcath Systems Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
DDI,DoubleDown Interactive Co. Ltd. American Depository Shares,South Korea,Technology,EDP Services
DDOG,Datadog Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
DECA,Denali Capital Acquisition Corp. Class A Ordinary Shares,United States,Finance,Blank Checks
DECAU,Denali Capital Acquisition Corp. Unit,United States,Finance,Blank Checks
DECAW,Denali Capital Acquisition Corp. Warrant,United States,Finance,Blank Checks
DENN,Denny's Corporation Common Stock,United States,Consumer Discretionary,Restaurants
DERM,Journey Medical Corporation Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
DFLI,Dragonfly Energy Holdings Corp. Common Stock (NV),United States,Miscellaneous,Industrial Machinery/Components
DFLIW,Dragonfly Energy Holdings Corp. Warrant,United States,Miscellaneous,Industrial Machinery/Components
DGHI,Digihost Technology Inc. Common Subordinate Voting Shares,Canada,Finance,Finance: Consumer Services
DGICA,Donegal Group Inc. Class A Common Stock,United States,Finance,Property-Casualty Insurers
DGICB,Donegal Group Inc. Class B Common Stock,United States,Finance,Property-Casualty Insurers
DGII,Digi International Inc. Common Stock,United States,Telecommunications,Computer Communications Equipment
DGLY,Digital Ally Inc. Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment
DH,Definitive Healthcare Corp. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
DHAI,DIH Holdings US Inc. Class A Common Stock,United States,Health Care,Medical/Dental Instruments
DHAIW,DIH Holding US Inc. Warrants,United States,Health Care,Medical/Dental Instruments
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,United States,Real Estate,Real Estate Investment Trusts
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,United States,Real Estate,Real Estate Investment Trusts
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,United States,Real Estate,Real Estate Investment Trusts
DHIL,Diamond Hill Investment Group Inc. Class A Common Stock,United States,Finance,Investment Managers
DIBS,1stdibs.com Inc. Common Stock,United States,Consumer Discretionary,Catalog/Specialty Distribution
DIOD,Diodes Incorporated Common Stock,United States,Technology,Semiconductors
DISTR,Distoken Acquisition Corporation Right,China,Finance,Blank Checks
DISTW,Distoken Acquisition Corporation Warrant,China,Finance,Blank Checks
